     Galaxy         Finite difference    Spline: 1st derivative        w/ bulge     w/o bulge    Spline: 2nd derivative       w/ bulge      w/o bulge
 69  NGC4157                0.836525                0.806665        0.806665     -inf                        0.445279       0.445279    -inf
 70  NGC4183                0.796725                0.763738     -inf               0.763738                 0.198451    -inf              0.198451
 71  NGC4214                0.281772                0.208755     -inf               0.208755                 0.383919    -inf              0.383919
 72  NGC4217                0.0123903               0.111817        0.111817     -inf                        0.279361       0.279361    -inf
 73  NGC4389                0.9                     0.544475     -inf               0.544475                -0.101693    -inf             -0.101693
 74  NGC4559                0.40594                 0.393845     -inf               0.393845                 0.12988     -inf              0.12988
 75  NGC5005                0.468349                0.399603        0.399603     -inf                        0.267344       0.267344    -inf
 76  NGC5033                0.0363636               0.128969        0.128969     -inf                        0.301519       0.301519    -inf
 77  NGC5055                0.567842                0.377822     -inf               0.377822                -0.079811    -inf             -0.079811
 78  NGC5371                0.688338                0.684205     -inf               0.684205                 0.0210908   -inf              0.0210908
 79  NGC5585                0.572134                0.657296     -inf               0.657296                -0.123085    -inf             -0.123085
 80  NGC5985                0.250733                0.208294        0.208294     -inf                       -0.146251      -0.146251    -inf
 81  NGC6015                0.572378                0.251376     -inf               0.251376                 0.270087    -inf              0.270087
 82  NGC6195                0.0999435               0.0978667       0.0978667    -inf                        0.201713       0.201713    -inf
 83  NGC6503                0.0537466               0.163263     -inf               0.163263                 0.289471    -inf              0.289471
 84  NGC6674                0.885714                0.823788        0.823788     -inf                        0.260087       0.260087    -inf
 85  NGC6946                0.462086                0.401728        0.401728     -inf                       -0.142678      -0.142678    -inf
 86  NGC7331                0.540431                0.499788        0.499788     -inf                        0.216227       0.216227    -inf
 87  NGC7793                0.829381                0.716963     -inf               0.716963                 0.0152177   -inf              0.0152177
 88  NGC7814                0.70349                 0.638929        0.638929     -inf                        0.239267       0.239267    -inf
 89  PGC51017              -0.5                    -0.25216      -inf              -0.25216                  0.469761    -inf              0.469761
 90  UGC00128               0.527959                0.540896     -inf               0.540896                 0.173076    -inf              0.173076
 91  UGC00191               0.714286               -0.202623     -inf              -0.202623                -0.747611    -inf             -0.747611
 92  UGC00731               0.563636                0.466668     -inf               0.466668                 0.535835    -inf              0.535835
 93  UGC00891               1                       0.869594     -inf               0.869594                 0.321428    -inf              0.321428
 94  UGC01230               0.684848                0.446308     -inf               0.446308                 0.0186564   -inf              0.0186564
 95  UGC01281               0.413913                0.430347     -inf               0.430347                -0.361557    -inf             -0.361557
 96  UGC02023               0.4                     0.261553     -inf               0.261553                 0.588252    -inf              0.588252
 97  UGC02259               0.857143                0.780181     -inf               0.780181                 0.141734    -inf              0.141734
 98  UGC02455              -0.571429               -0.425818     -inf              -0.425818                -0.363246    -inf             -0.363246
 99  UGC02487               0.582353                0.55103         0.55103      -inf                        0.568642       0.568642    -inf
100  UGC02885               0.256481                0.017933        0.017933     -inf                       -0.0410741     -0.0410741   -inf
101  UGC02916              -0.0281762               0.242053        0.242053     -inf                        0.319049       0.319049    -inf
102  UGC02953               0.443568                0.544259        0.544259     -inf                        0.0258446      0.0258446   -inf
103  UGC03205               0.50799                 0.367589        0.367589     -inf                        0.343283       0.343283    -inf
104  UGC03546               0.646422                0.422809        0.422809     -inf                        0.430144       0.430144    -inf
105  UGC03580              -0.441531                0.0551356       0.0551356    -inf                        0.431189       0.431189    -inf
106  UGC04278               0.176522                0.120677     -inf               0.120677                -0.226396    -inf             -0.226396
107  UGC04305               0.319481                0.327362     -inf               0.327362                -0.338626    -inf             -0.338626
108  UGC04325               0.964286                0.928698     -inf               0.928698                -0.378041    -inf             -0.378041
109  UGC04483               0.857143                0.703012     -inf               0.703012                -0.273603    -inf             -0.273603
110  UGC04499               0.642857                0.587446     -inf               0.587446                -0.682637    -inf             -0.682637
111  UGC05005               0.927273                0.888095     -inf               0.888095                 0.114893    -inf              0.114893
112  UGC05253               0.441597                0.216013        0.216013     -inf                       -0.0652207     -0.0652207   -inf
113  UGC05414               1                       0.762898     -inf               0.762898                -0.13059     -inf             -0.13059
114  UGC05716               0.672727                0.632494     -inf               0.632494                 0.41213     -inf              0.41213
115  UGC05721               0.759458                0.57338      -inf               0.57338                  0.172181    -inf              0.172181
116  UGC05750               0.757576                0.0609062    -inf               0.0609062               -0.853987    -inf             -0.853987
117  UGC05764               0.883333                0.816215     -inf               0.816215                -0.152171    -inf             -0.152171
118  UGC05829               0.260606                0.132385     -inf               0.132385                 0.0453618   -inf              0.0453618
119  UGC05918               0.714286                0.488763     -inf               0.488763                -0.0657366   -inf             -0.0657366
120  UGC05986               0.816282                0.832516     -inf               0.832516                 0.586001    -inf              0.586001
121  UGC05999              -0.2                    -0.054543     -inf              -0.054543                -0.26267     -inf             -0.26267
122  UGC06399               0.880952                0.883404     -inf               0.883404                -0.0772668   -inf             -0.0772668
123  UGC06446               0.502941                0.511463     -inf               0.511463                 0.642824    -inf              0.642824
